project_id	expression_type	sample_id	score_type	score
SCPCP000006	bulk_tpm	SCPCS000182	immune	-1703.1350776978427
SCPCP000006	bulk_tpm	SCPCS000183	stromal	507.69430954951423
SCPCP000006	bulk_tpm	SCPCS000183	immune	-615.6128891968679
SCPCP000006	bulk_tpm	SCPCS000184	stromal	-1192.866969458403
SCPCP000006	bulk_tpm	SCPCS000184	immune	-1091.5383225851085
SCPCP000006	bulk_tpm	SCPCS000185	stromal	-699.4667610794864
SCPCP000006	bulk_tpm	SCPCS000185	immune	-666.8993443479569
SCPCP000006	bulk_tpm	SCPCS000186	stromal	-1333.172523502113
SCPCP000006	bulk_tpm	SCPCS000186	immune	-1750.4989404516355
SCPCP000006	bulk_tpm	SCPCS000188	stromal	-761.568047751318
SCPCP000006	bulk_tpm	SCPCS000188	immune	-1167.4153769406007
SCPCP000006	bulk_tpm	SCPCS000189	stromal	-1277.0554192402938
SCPCP000006	bulk_tpm	SCPCS000189	immune	-1090.4791888509021
SCPCP000006	bulk_tpm	SCPCS000190	stromal	-1823.3289592183742
SCPCP000006	bulk_tpm	SCPCS000190	immune	-1666.6467643741296
SCPCP000006	bulk_tpm	SCPCS000191	stromal	-475.8372275014974
SCPCP000006	bulk_tpm	SCPCS000191	immune	-1123.1995081742562
SCPCP000006	bulk_tpm	SCPCS000192	stromal	-1466.3581866511415
SCPCP000006	bulk_tpm	SCPCS000192	immune	-1274.3514531677913
SCPCP000006	bulk_tpm	SCPCS000193	stromal	902.1784151772667
SCPCP000006	bulk_tpm	SCPCS000193	immune	586.6572343012672
SCPCP000006	bulk_tpm	SCPCS000194	stromal	872.4384097481179
SCPCP000006	bulk_tpm	SCPCS000194	immune	969.6122581792281
SCPCP000006	bulk_tpm	SCPCS000195	stromal	1167.841694375035
SCPCP000006	bulk_tpm	SCPCS000195	immune	1495.9206379861544
SCPCP000006	bulk_tpm	SCPCS000196	stromal	251.07890409307544
SCPCP000006	bulk_tpm	SCPCS000196	immune	-832.8430417627267
SCPCP000006	bulk_tpm	SCPCS000197	stromal	-1114.6467965155734
SCPCP000006	bulk_tpm	SCPCS000197	immune	-1093.2766753779244
SCPCP000006	bulk_tpm	SCPCS000198	stromal	-210.97807105592022
SCPCP000006	bulk_tpm	SCPCS000198	immune	-631.0808834544356
SCPCP000006	bulk_tpm	SCPCS000199	stromal	-1852.9110678747154
SCPCP000006	bulk_tpm	SCPCS000199	immune	-2035.9523821351816
SCPCP000006	bulk_tpm	SCPCS000200	stromal	-1411.140379662281
SCPCP000006	bulk_tpm	SCPCS000200	immune	-1525.420358020223
SCPCP000006	bulk_tpm	SCPCS000201	stromal	-109.08439623885057
SCPCP000006	bulk_tpm	SCPCS000201	immune	-467.0888777806039
SCPCP000006	bulk_tpm	SCPCS000202	stromal	-910.3422256441762
SCPCP000006	bulk_tpm	SCPCS000202	immune	-1453.1696447680943
SCPCP000006	bulk_tpm	SCPCS000203	stromal	-964.1562378232977
SCPCP000006	bulk_tpm	SCPCS000203	immune	-1013.2266962857947
SCPCP000006	bulk_tpm	SCPCS000204	stromal	-737.4871041992384
SCPCP000006	bulk_tpm	SCPCS000204	immune	-1011.2859800478033
SCPCP000006	bulk_tpm	SCPCS000205	stromal	-1325.191754836884
SCPCP000006	bulk_tpm	SCPCS000205	immune	-1173.9001007774873
SCPCP000006	bulk_tpm	SCPCS000206	stromal	-1653.4081316415281
SCPCP000006	bulk_tpm	SCPCS000206	immune	-1079.7402184250154
SCPCP000006	bulk_tpm	SCPCS000208	stromal	-932.3468405288892
SCPCP000006	bulk_tpm	SCPCS000208	immune	-1070.7418969303576
SCPCP000006	pseudobulk	SCPCS000168	stromal	-1256.4165438022765
SCPCP000006	pseudobulk	SCPCS000168	immune	-2142.5064689653527
